[MC913] start p=0.999 (32 workers)
[MC913] p=0.994 fail=3099/800 pass=1 total=3100 ratio=0.999677
[MC913] p=0.994 fail=3199/800 pass=1 total=3200 ratio=0.999687
[MC913] done p=0.994 ratio_fail=0.9996875 ratio/p=1.00572 total=3200 elapsed=16.3s
[MC913] start p=0.993 (32 workers)
[MC913] p=0.993 fail=100/800 pass=0 total=100 ratio=1
[MC913] p=0.993 fail=200/800 pass=0 total=200 ratio=1
[MC913] p=0.993 fail=398/800 pass=2 total=400 ratio=0.995
[MC913] p=0.993 fail=498/800 pass=2 total=500 ratio=0.996
[MC913] p=0.993 fail=598/800 pass=2 total=600 ratio=0.996667
[MC913] p=0.993 fail=698/800 pass=2 total=700 ratio=0.997143
[MC913] p=0.993 fail=798/800 pass=2 total=800 ratio=0.9975
[MC913] p=0.993 fail=898/800 pass=2 total=900 ratio=0.997778
[MC913] p=0.993 fail=998/800 pass=2 total=1000 ratio=0.998
[MC913] p=0.993 fail=1098/800 pass=2 total=1100 ratio=0.998182
[MC913] p=0.993 fail=1198/800 pass=2 total=1200 ratio=0.998333
[MC913] p=0.993 fail=1298/800 pass=2 total=1300 ratio=0.998462
[MC913] p=0.993 fail=1398/800 pass=2 total=1400 ratio=0.998571
[MC913] p=0.993 fail=1498/800 pass=2 total=1500 ratio=0.998667
[MC913] p=0.993 fail=1598/800 pass=2 total=1600 ratio=0.99875
[MC913] p=0.993 fail=1698/800 pass=2 total=1700 ratio=0.998824
[MC913] p=0.993 fail=1798/800 pass=2 total=1800 ratio=0.998889
[MC913] p=0.993 fail=1898/800 pass=2 total=1900 ratio=0.998947
[MC913] p=0.993 fail=1998/800 pass=2 total=2000 ratio=0.999
[MC913] p=0.993 fail=2098/800 pass=2 total=2100 ratio=0.999048
[MC913] p=0.993 fail=2198/800 pass=2 total=2200 ratio=0.999091
[MC913] p=0.993 fail=2298/800 pass=2 total=2300 ratio=0.99913
[MC913] p=0.993 fail=2398/800 pass=2 total=2400 ratio=0.999167
[MC913] p=0.993 fail=2498/800 pass=2 total=2500 ratio=0.9992
[MC913] p=0.993 fail=2598/800 pass=2 total=2600 ratio=0.999231
[MC913] p=0.993 fail=2698/800 pass=2 total=2700 ratio=0.999259
[MC913] p=0.993 fail=2798/800 pass=2 total=2800 ratio=0.999286
[MC913] p=0.993 fail=2898/800 pass=2 total=2900 ratio=0.99931
[MC913] p=0.993 fail=2998/800 pass=2 total=3000 ratio=0.999333
[MC913] p=0.993 fail=3098/800 pass=2 total=3100 ratio=0.999355
[MC913] p=0.993 fail=3198/800 pass=2 total=3200 ratio=0.999375
[MC913] done p=0.993 ratio_fail=0.999375 ratio/p=1.00642 total=3200 elapsed=13.5s
[MC913] start p=0.992 (32 workers)
[MC913] p=0.992 fail=100/800 pass=0 total=100 ratio=1
[MC913] p=0.992 fail=200/800 pass=0 total=200 ratio=1
[MC913] p=0.992 fail=398/800 pass=2 total=400 ratio=0.995
[MC913] p=0.992 fail=497/800 pass=3 total=500 ratio=0.994
[MC913] p=0.992 fail=597/800 pass=3 total=600 ratio=0.995
[MC913] p=0.992 fail=697/800 pass=3 total=700 ratio=0.995714
[MC913] p=0.992 fail=797/800 pass=3 total=800 ratio=0.99625
[MC913] p=0.992 fail=897/800 pass=3 total=900 ratio=0.996667
[MC913] p=0.992 fail=997/800 pass=3 total=1000 ratio=0.997
[MC913] p=0.992 fail=1097/800 pass=3 total=1100 ratio=0.997273
[MC913] p=0.992 fail=1197/800 pass=3 total=1200 ratio=0.9975
[MC913] p=0.992 fail=1297/800 pass=3 total=1300 ratio=0.997692
[MC913] p=0.992 fail=1397/800 pass=3 total=1400 ratio=0.997857
[MC913] p=0.992 fail=1497/800 pass=3 total=1500 ratio=0.998
